,year,title,authors,abstract,journal_title
10,2013,ЗОЛТАН НАДЬ. ВАСЮГАНСКИЕ ХАНТЫ. ИЗМЕНЕНИЯ РЕЛИГИОЗНОЙ СИСТЕМЫ В XIX–XXI ВЕКАХ (Томск: Изд-во ТГПУ. 2011. 294 с.),Кулемзин В. М.,.,Томский журнал лингвистических и антропологических исследований
11,2013,МЕТАФОРЫ И ОБРАЗНЫЕ СХЕМЫ В СЕЛЬКУПСКОМ ЯЗЫКЕ,Байдак Александра Владимировна,"На примере одного из языков коренных народов Сибири – селькупском – анализируется функционирование антропоморфных метафор, в которых в качестве донорской зоны широко используется человек и его части тела, определяется функционирование концептуальных схем «вместилище», «часть – целое», «источник – путь – цель».",Томский журнал лингвистических и антропологических исследований
12,2013,КАУЗАТИВ И ПАССИВ В ЯЗЫКЕ САХА: ИССЛЕДОВАНИЕ КАУЗАТИВОВ С ДВОЙНЫМ АККУЗАТИВОМ И НЕЛИЧНЫХ ПАССИВОВ,Эбата Фуюки,"Рассматриваются каузативные и пассивные конструкции в языке саха, в частности каузативы с двойным аккузативом и неличные пассивы. Относительно каузативов в языке саха утверждается, что падежное оформление каузируемого участника зависит от типа каузации. В языке саха возможны каузативы с двойным аккузативом. В языке саха также имеются неличные пассивы, образованные от транзитивных и нетранзитивных глаголов. Референтом невыраженного агенса в конструкциях с неличным пассивом обязательно является человек.
В отличие от языка саха каузативы с двойным аккузативом не характерны для большинства тюркских языков, однако распространены в тунгусских языках. Следовательно, с большой степенью уверенности можно утверждать, что каузатив с двойным аккузативом в языке саха появился в результате контакта с тунгусскими языками. С другой стороны, неличные пассивы не встречаются в тунгусских языках, но характерны для других тюркских языков. Развитие неличных пассивов в языке саха вряд ли можно объяснить языковым контактом.",Томский журнал лингвистических и антропологических исследований
13,2013,АСИММЕТРИЧНОЕ ОТРИЦАНИЕ В ВОСТОЧНО-ХАНТЫЙСКОМ И ЮЖНО-СЕЛЬКУПСКОМ,Фильченко Андрей Юрьевич,"В статье рассматриваются стратегии отрицания в грамматических системах двух уральских языков Западной Сибири: восточно-хантыйском и южно-селькупском. Данные языки находятся в отдаленном генетическом родстве и характеризуются продолжительным лингво-культурным контактом на территории среднего течения р.Обь в пределах томской области. Кроме того, эти системы объединяет то, что они относятся к наименее описанным и наиболее угрожаемым, насчитывая в каждом случае (васюганский и александровский диалекты хантыйского языка, и южно-селькупские диалекты) на данный момент не более 10 полноценных носителей.
К основным целям данной части исследования относится синхронное описание морфосинтаксических, просодических, семантических, прагматических и социолингвистических свойств отрицания на базе имеющегося корпуса данных с современных теоретических и методологических позиций. В перспективе дескриптивные данные будут детально проанализированы в их локальной и типологической перспективе, в ареальном - обскоенисейском и генетическом – уральском контексте.
В обще-типологическом плане обе рассматриваемые системы демонстрируют синтаксическую стратегию отрицания, с последовательной морфосинтаксической симметрией в соответствии с доминирующим базовым порядком слов SOV. Однако, в данных отмечаются частные случаи асимметрии, ассоциируемые прежде всего с бытийными конструкциями и конструкциями с неопределенными/отрицательными проформами.",Томский журнал лингвистических и антропологических исследований
14,2013,ЧУЛЫМСКИЕ ТЮРКИ: СОКРАЩЕНИЕ ЧИСЛЕННОСТИ НАСЕЛЕНИЯ КАК РЕЗУЛЬТАТ ТРАНСФОРМАЦИИ ЭТНОЯЗЫКОВОГО САМОСОЗНАНИЯ,Лемская Валерия Михайловна,Рассматривается сокращение численности этноса чулымских тюрков в 2002–2010 гг. как следствие трансформации этноязы кового сознания населения.,Томский журнал лингвистических и антропологических исследований
15,2013,РАЗГАДКА ПРИНЦИПОВ ПОСТАНОВКИ УДАРЕНИЯ В ВАСЮГАНСКОМ ДИАЛЕКТЕ ХАНТЫЙСКОГО ЯЗЫКА,Норманская Юлия Викторовна,"Приведены результаты анализа места ударения в васюганском диалекте по архивным данным, собранным Л. И. Калининой в 50–60-х гг. XX в. Оказалось, что правило постановки ударения зависит от части речи. В глаголах и местоимениях ударение парадигматическое, и его место зависит от типа аффикса. В именах ударение фиксировано на первом или втором слоге. Закрепление ударения за определенным гласным, видимо, произошло достаточно давно, когда гласные первого слога в восточных диалектах еще сохраняли прахантыйское качество. Если в первом слоге слова был прахантыйский гласный верхнего подъема, то ударение стало фиксированным на втором слоге, в других случаях – на первом слоге. Таким образом, васюганская система ударения имеет уникальный характер: в имени и глаголе представлено два различных типа ударения: в глаголе – разноместное парадигматическое, в имени – фиксированное в зависимости от фонемного состава словоформы.",Томский журнал лингвистических и антропологических исследований
16,2013,КОНЦЕПТУАЛИЗАЦИЯ АТМОСФЕРНЫХ ОСАДКОВ В СЕЛЬКУПСКОМ ЯЗЫКЕ В СОПОСТАВЛЕНИИ С РУССКИМ,Полякова Наталья Владимировна,"Статья посвящена выявлению и описанию релевантных признаков концептуализации атмосферных осадков (дождя, снега) в селькупском и русском языках.",Томский журнал лингвистических и антропологических исследований
17,2013,ПРОЯВЛЕНИЯ ЯЗЫКОВОЙ АТТРИЦИИ В РЕЧИ НОСИТЕЛЕЙ ВОСТОЧНЫХ ДИАЛЕКТОВ ХАНТЫЙСКОГО ЯЗЫКА,Потанина Ольга С.,"The Khanty language represents an extensive dialectal continuum. Not only are the extremes of the continuum mutually unintelligible but the dialects in-between belonging to the same group are mutually unintelligible, too. Our research focuses on the documentation and description of the highly endangered Vasyugan variety of Eastern Khanty spoken in Tomsk region. There are fewer than 10 proficient speakers of Vasyugan Khanty left.
The paper focuses on Vasyugan Khanty complex clauses, which have been syntactically restructured due to the century-long extensive contact with Russian. The clauses have mostly been restructured in terms of constituent order, finiteness/non-finiteness and the use of subordinators which results in grammatical convergence. Vasyugan Khanty synchronizes the constituent order with the surrounding Russian language. The title of the paper implies that grammatical convergence is the manifestation of language attrition among individual speakers.",Томский журнал лингвистических и антропологических исследований
18,2013,К ВОПРОСУ О ВЗАИМООТНОШЕНИИ ФУНКЦИИ И СЕМАНТИКИ АТРИБУТОВ АКТАНТА В ПЕРМСКИХ ЯЗЫКАХ,Шитц Ольга Александровна,"Рассматривается формальное поведение (т. е. морфологические характеристики) словоформ качественной, предметно-вещественной, локально-темпоральной и процессуальной семантики, выполняющих функцию атрибутов актанта в близкородственных языках (удмуртском и коми).",Томский журнал лингвистических и антропологических исследований
19,2013,ГОРОДИЩЕ ШЕЛОМОК – 125 ЛЕТ АРХЕОЛОГИЧЕСКОГО ИЗУЧЕНИЯ,"Барсуков Евгений Владимирович, Березовская Наталия Владимировна","Статья посвящена археологическому памятнику городище Шеломок, расположенному в нижнем течении Томи. Памятник 125 лет известен в археологии Сибири. В исследовании анализируется его географическое положение, особенности выраженных в рельефе объектов. Подробно описана история исследования, указано значение материалов памятника для историко-культурных реконструкций. В заключение приведены результаты изучения памятника методом наземного лазерного сканирования, проведенного в 2012 году.",Томский журнал лингвистических и антропологических исследований
20,2013,ИСТОРИЯ ИЗУЧЕНИЯ НГАНАСАНСКОГО ШАМАНСТВА,Добжанская Оксана Эдуардовна,"Статья посвящена описанию процесса исследования нганасанского шаманства начиная с XVIII в. и до наших дней. Рассматриваются посвященные шаманству труды отечественных и зарубежных этнографов, языковедов, музыковедов.",Томский журнал лингвистических и антропологических исследований
21,2013,ХАНТЫЙСКИЙ ОБРЯД ЖЕРТВОПРИНОШЕНИЯ,Лукина Надежда Васильевна,"Статья содержит анализ основных аспектов обряда жертвоприношения у хантов. В их числе рассматриваются объекты, которым направляется жертва; субъекты, приносящие жертву; местонахождение объектов и место принесения им жертвы; сроки и место проведения обряда; виды жертвенных церемоний; разновидности жертвенных даров; действия, выполняемые во время жертвенной церемонии. Анализ основан на полевых материалах автора 1970–1980-х гг., собранных у юганской группы хантов. В завершение статьи приводится краткое описание конкретного обряда.",Томский журнал лингвистических и антропологических исследований
22,2013,К ПРОБЛЕМЕ КУЛЬТУРНОЙ САМОИДЕНТИФИКАЦИИ У АНДРОНОВЦЕВ,Рудковский Игорь Владимирович,"Исследуется вопрос о возможности фиксировать в археологическом материале информацию не только о больших социумах (археологических культурах или культурно-исторических общностях), но и об отдельных личностях, пусть и безымянных. Жесткие каноны традиций подавляют индивидуальность, но могут неожиданным образом и высвечивать ее. Это может происходить при попытке осмысления себя человека, попавшего в инокультурную среду, через вещные коды. Гипотетические построения в данной статье опираются на факты инокультурных включений в погребальном комплексе алакульского могильника Майтан в Центральном Казахстане.",Томский журнал лингвистических и антропологических исследований
23,2013,ТИПОЛОГИЯ УРАЛЬСКОГО ЭССИВА,Каспер де Грут,.,Томский журнал лингвистических и антропологических исследований
24,2013,К ПРОБЛЕМЕ СОЗДАНИЯ ВОПРОСНИКА ПО ГРАММАТИЧЕСКИМ ОТНОШЕНИЯМ: ПРОЕКТ ИНТЕГРАЦИИ ТИПОЛОГИИ И ПОЛЕВОЙ ЛИНГВИСТИКИ,"Бикель Бальтазар, Вицлак-Макаревич Алена","В этой статье мы представляем проект Handbook of Grammatical Relations, который был запущен в конце 2012г. Цюрихским университетом. Проект и прилагаемый опросник отражают современный подход к типологии грамматических отношений, при применении которого для описания и сравнения грамматических отношений в языках мира лингвисты перестали пользоваться такими всеохватывающими категориями как подлежащее и прямое дополнение и вместо этого рассматривают отдельные конструкции (т. н. селекторы аргументов), которые распространяются на некоторые семантические роли и исключают другие. Статья описывает подход к семантическим ролям аргументов, который позволяет определить роль аргумента в независимости от его морфо-синтаксической реализации. Только такой подход к семантическим ролям позволяет использовать их в качестве основы для сравнения грамматических отношений в языках мира. Помимо семантической роли аргументов, другие параметры могут влиять на то, будет или нет индивидуальный селектор распространяться на определенную роль. Среди этих параметров – характеристики именной фразы, темпорально-аспектуальные категории предложения, тип предложения, а также тип и роль других аргументов предложения (т. н. сценарий). Все эти параметры должны учитываться при заполнении опросника, т. к. они непосредственно влияют на морфо-синтаксическую реализацию аргументов. Помимо этого в статье обсуждаются примеры конструкций, которые на первый взгляд могут быть классифицированы как селекторы аргументов и приводятся правила однозначного различения селекторов аргументов и подобных конструкций.",Томский журнал лингвистических и антропологических исследований
25,2013,PERSONALIA,Потанина Ольга С.,.,Томский журнал лингвистических и антропологических исследований
26,2014,АФФИКСЫ ПРОПРИЕТИВА В ЯЗЫКАХ СЕВЕРО-ВОСТОЧНОЙ ЕВРАЗИИ: ОБЗОР,Эбата Фуюки,"В северо-восточной Евразии распространены языки, в которых отсутствует глагол обладания со значением «иметь», а вместо него для выражения посессивных отношений используется аффиксация. Данная статья представляет обзор работ, посвященных проприетивным аффиксам в пяти языках. Проприетивные аффиксы в данных пяти языках имеют общие семантические свойства. Часто они обозначают не только собственно обладание, а также посессивность с определенными коннотациями, например особые свойства обладаемого или временное обладание в определенный момент. Проприетивным аффиксам в данных пяти языках свойственна морфосинтаксическая идиосинкретичность, которой не обладают обычные деривационные суффиксы. Несмотря на то что проприетивные аффиксы являются деривационными аффиксами, существительные-основы все же сохраняют свою автономность. В данных пяти языках также имеются абессивные формы, которые, являясь противоположными по значению проприетивным формам, морфосинтаксически не всегда симметричны проприетивным формам.",Томский журнал лингвистических и антропологических исследований
27,2014,К ВОПРОСУ О ПРОПРИЕТИВНЫХ ГЛАГОЛАХ В ЮКАГИРСКОМ ЯЗЫКЕ,Нагасаки Ику.,"В колымском диалекте юкагирского языка отсутствует глагол обладания, подобный глаголу have в английском языке. Для выражения предикативной посессивности используются глаголы обладания, образованные от существительных с помощью суффикса -n’e/-n.’ В статье представлено описание и анализ глаголов обладания в колымском диалекте юкагирского языка с учетом их семантических и прагматических особенностей. В статье предлагается обзор словообразования и синтаксиса глаголов обладания с последующим обсуждением семантической вариативности данных глаголов, которая обусловлена характером отношений между посессором и обладаемым. В аспекте информационной структуры рассматриваются прагматические особенности использования глаголов обладания в главном предложении в противопоставлении бытийным предложениям.",Томский журнал лингвистических и антропологических исследований
28,2014,ЯКУТСКИЙ (САХА) СУФФИКС ПРОПРИЕТИВА -LEEX,Эбата Фуюки,"Рассматриваются морфосинтаксические и семантические характеристики проприетивного суффикса -LEEX в якутском языке (саха). Данный суффикс является высокопродуктивным и имеет широкую сферу употребления: образуемая им форма используется в качестве атрибутивной фразы или предиката (при предикативной посессивности), а также в качестве именной группы и адвербиально. С точки зрения семантики данного суффикса он имеет значение не только собственно посессивности, а часто особые коннотации. Когда существительное-основа имеет значение «человек», данный проприетивный суффикс выражает отношения родства, совместности или некоторого множества. Когда основой является конкретное существительное, проприетивный суффикс несет значение «обладание в определенный момент» или значение собственно обладания. В случае если основой является абстрактное существительное, то наличие проприетивного суффикса характеризует человека свойством, выраженным данным существительным (постоянным или временным). Проприетивная конструкция имеет много сходств с комитативной и бытийной конструкциями. Несмотря на то что проприетивный суффикс -LEEX описывался в литературе как суффикс образования прилагательных, данный суффикс демонстрирует определенную идиосинкретичность, которую не обнаруживают остальные деривационные суффиксы. Например, возможно присоединение суффикса -LEEX после суффикса множественного числа или напрямую к отглагольному имени. Также в статье рассматриваются морфосинтаксические характеристики абессива, семантически противоположной формы, которая не всегда, однако, симметрична проприетивной форме.",Томский журнал лингвистических и антропологических исследований
29,2014,ЭВЕНСКИЙ СУФФИКС ПРОПРИЕТИВА -LKAN,Каджи Хироми,"Рассматриваются особенности проприетивного суффикса -lkAn в эвенском языке. Рассматриваемый суффикс присоединяется к именным основам и выражает значение посессивности. Однако значения данного суффикса не ограничиваются притяжательным значением. В адвербиальной функции, например, суффикс передает значение «обладание в определенный момент». К другим значениям, выражаемым формой N-lkan, относятся:
«совместность»: суффикс присоединяется к имени существительному, обозначающему человека, личному местоимению, имени собственному (в адвербиальной функции);
«то, что надевается (используется)»: с существительными, обозначающими элементы одежды;
«количество»: с существительными, обозначающими вместилище, контейнер;
«возраст человека»: присоединяется к числительным. 
Несмотря на то что значение «совместность» может также выражаться комитативным падежом, данные конструкции значительно отличаются. Суффикс комитативного падежа может присоединяться совместно с лично-притяжательным суффиксом, тогда как суффикс -lkan не может.
N-lkan в атрибутивной функции может как маркироваться инструментальным падежом, так и употребляться без него. Немаркированная инструментальным падежом форма имеет значение «быть надетым», «быть в использовании», тогда как оформленная инструментальным падежом форма необязательно имеет значение подобного состояния.
Также имеется абессивная форма aač -LA, семантически имеющая противоположное значение проприетивному суффиксу -lkAn. Значение формы aač -LA сводится к значениям «отсутствие», «необладание», «несовместность». Проприетивный суффикс и абессивная форма имеют некоторые сходства, в частности обе формы выполняют атрибутивную, предикативную и адвербиальную функции. Однако в отношении их морфосинтаксиса данные формы демонстрируют определенные различия: в адвербиальной функции форма aač -LA облигаторно оформляется инструментальным падежом, тогда как N-lkan в адвербиальном употреблении как оформляется инструментальным падежом, так и используется без него.",Томский журнал лингвистических и антропологических исследований
